Conflict_ID,Region,Conflict_Type,Start_Date,End_Date,Number_of_Incidents,Number_of_Deaths,Intervention_ID,Intervention_Country,Intervention_Organization,Intervention_Type,Intervention_Start_Date,Intervention_End_Date,Intervention_Success,Country,Population,GDP_Per_Capita,Unemployment_Rate,Poverty_Index,Literacy_Rate,Ethnic_Group,Main_Religion,Ethnic_Religious_Tension,Number_of_Conflicts,Last_Conflict_Date,Corruption_Index,Governance_Quality,Government_Transparency,Number_of_Scandals,Number_of_Displaced_People,Number_of_Refugees,Humanitarian_Needs,Access_to_Humanitarian_Aid,Technology_Use_in_Conflicts,Technological_Investment,Number_of_Data_Analysis_Projects,Data_Analysis_Effectiveness
6743,Iran,civil war,2028-06-17,,25,487,6743,Iran,NATO,humanitarian,2028-06-17,2023-01-01,no,Iran,6967949,39096,28.43,57.48,70.14,Persian,Sunni Islam,medium,11,2038-06-17,4.75,2,7,8,3405414,569985,shelter,low,medium,67,19,2
6744,Iraq,civil war,2028-06-18,,72,747,6744,Yemen,NATO,military,2028-06-18,2023-01-01,no,Afghanistan,4190261,5453,22.49,19.5,62.14,Turkoman,Christianity,high,14,2038-06-18,2.0,7,5,0,1094572,471969,shelter,high,medium,14,14,5
6745,Iraq,terrorism,2028-06-19,,97,130,6745,Iran,UN,military,2028-06-19,,no,Iraq,24104195,27559,44.03,48.4,54.36,Arab,Christianity,low,3,2038-06-19,9.24,3,9,7,2567042,2166181,medicine,low,medium,99,36,7
6746,Iran,civil war,2028-06-20,,20,443,6746,Afghanistan,Red Cross,humanitarian,2028-06-20,2023-01-01,yes,Iran,2130228,34657,35.33,7.78,78.71,Persian,Christianity,high,12,2038-06-20,7.6,1,3,3,2937668,756880,medicine,medium,medium,45,9,5
6747,Iraq,territorial conflict,2028-06-21,,82,51,6747,Iraq,UN,humanitarian,2028-06-21,2023-01-01,no,Iran,38363916,35055,45.2,43.24,87.95,Arab,Shia Islam,medium,6,2038-06-21,8.65,8,3,8,4015167,2342891,water,low,low,76,17,4
6748,Syria,territorial conflict,2028-06-22,,82,49,6748,Iran,NATO,military,2028-06-22,2023-01-01,no,Syria,18745576,6419,24.46,15.87,61.94,Arab,Christianity,high,9,2038-06-22,2.63,7,3,8,3589999,2555154,medicine,medium,high,46,21,8
6749,Afghanistan,territorial conflict,2028-06-23,2023-01-01,63,236,6749,Iran,UN,humanitarian,2028-06-23,,no,Yemen,22970779,31193,27.26,38.88,53.17,Arab,Shia Islam,high,18,2038-06-23,4.87,2,8,5,2385645,1773248,water,high,high,53,24,9
6750,Afghanistan,territorial conflict,2028-06-24,,61,461,6750,Syria,UN,diplomatic,2028-06-24,,no,Afghanistan,3459638,5124,28.52,32.62,57.04,Kurd,Sunni Islam,low,13,2038-06-24,3.89,4,2,4,2794614,22451,water,low,high,14,43,8
6751,Iraq,terrorism,2028-06-25,2023-01-01,69,661,6751,Syria,UN,humanitarian,2028-06-25,,no,Iraq,18231877,9653,33.62,41.12,71.47,Baluchi,Sunni Islam,low,9,2038-06-25,4.12,8,8,7,4009773,2808547,water,medium,medium,32,17,1
6752,Iran,territorial conflict,2028-06-26,,72,148,6752,Iran,Red Cross,diplomatic,2028-06-26,,partial,Iran,10449494,5256,49.51,59.13,81.67,Persian,Shia Islam,low,19,2038-06-26,8.19,4,2,4,1002865,292087,food,low,medium,67,12,1
6753,Afghanistan,territorial conflict,2028-06-27,2023-01-01,34,216,6753,Iraq,UN,diplomatic,2028-06-27,2023-01-01,partial,Afghanistan,3091628,21824,7.08,26.86,58.56,Baluchi,Christianity,low,16,2038-06-27,9.41,9,7,6,1723557,1734925,water,low,low,34,15,2
6754,Iraq,terrorism,2028-06-28,,29,931,6754,Iraq,UN,humanitarian,2028-06-28,2023-01-01,no,Afghanistan,1099430,49159,23.94,31.87,60.85,Baluchi,Sunni Islam,medium,16,2038-06-28,1.74,6,8,3,1467324,1105450,shelter,medium,high,90,32,5
6755,Syria,territorial conflict,2028-06-29,,52,51,6755,Iran,UN,military,2028-06-29,2023-01-01,partial,Yemen,38997236,6833,49.23,53.97,86.03,Persian,Sunni Islam,medium,8,2038-06-29,5.5,1,9,9,3975809,1937467,shelter,low,low,82,23,9
6756,Iraq,territorial conflict,2028-06-30,,40,396,6756,Iran,NATO,humanitarian,2028-06-30,,partial,Syria,8711663,32688,24.19,32.09,69.69,Arab,Christianity,high,13,2038-06-30,1.19,1,9,8,2878408,192633,medicine,medium,low,23,32,8
6757,Afghanistan,civil war,2028-07-01,2023-01-01,25,332,6757,Syria,Red Cross,diplomatic,2028-07-01,2023-01-01,yes,Syria,7439052,39834,18.4,52.15,85.61,Persian,Sunni Islam,medium,14,2038-07-01,8.12,4,1,2,903379,466923,water,low,medium,33,35,5
6758,Afghanistan,territorial conflict,2028-07-02,,51,10,6758,Syria,UN,military,2028-07-02,2023-01-01,partial,Iraq,2320605,49370,15.86,30.0,78.01,Persian,Sunni Islam,high,9,2038-07-02,2.16,1,5,1,3173789,2964017,water,medium,high,93,17,9
6759,Iran,terrorism,2028-07-03,,26,812,6759,Afghanistan,UN,diplomatic,2028-07-03,,no,Syria,39473012,2111,6.7,8.02,54.28,Baluchi,Sunni Islam,medium,18,2038-07-03,6.65,5,1,9,2973945,2452452,shelter,low,high,81,27,8
6760,Afghanistan,civil war,2028-07-04,,47,739,6760,Iraq,NATO,military,2028-07-04,2023-01-01,yes,Iraq,8865275,42113,29.34,34.77,76.72,Arab,Christianity,high,4,2038-07-04,7.97,9,9,0,2973262,2090814,water,medium,low,8,22,9
6761,Iraq,territorial conflict,2028-07-05,,52,562,6761,Syria,Red Cross,military,2028-07-05,2023-01-01,yes,Yemen,6093552,11352,5.41,29.78,87.39,Persian,Shia Islam,medium,12,2038-07-05,2.51,5,1,2,1616117,1732118,water,high,low,94,2,4
6762,Yemen,terrorism,2028-07-06,2023-01-01,51,692,6762,Syria,NATO,diplomatic,2028-07-06,,partial,Iran,23470887,48048,21.19,33.55,54.76,Persian,Shia Islam,high,7,2038-07-06,9.94,1,3,7,2145818,566118,water,low,high,43,40,7
6763,Syria,terrorism,2028-07-07,2023-01-01,34,649,6763,Yemen,NATO,military,2028-07-07,2023-01-01,partial,Iran,10747772,39388,32.39,12.56,96.3,Turkoman,Sunni Islam,low,1,2038-07-07,7.62,2,8,9,3977634,1153291,medicine,medium,medium,16,7,9
6764,Afghanistan,territorial conflict,2028-07-08,,23,632,6764,Iraq,NATO,diplomatic,2028-07-08,,partial,Afghanistan,29734938,49025,10.34,47.29,86.43,Arab,Sunni Islam,medium,11,2038-07-08,8.46,8,4,4,4708359,1624423,medicine,low,high,20,16,4
6765,Iraq,civil war,2028-07-09,2023-01-01,81,214,6765,Afghanistan,Red Cross,diplomatic,2028-07-09,,yes,Yemen,36368184,46368,18.71,12.74,98.78,Turkoman,Christianity,medium,14,2038-07-09,4.3,9,5,9,2091508,2583364,water,high,medium,91,40,9
6766,Iraq,civil war,2028-07-10,2023-01-01,79,320,6766,Syria,UN,diplomatic,2028-07-10,2023-01-01,yes,Afghanistan,23348936,44446,49.89,15.88,53.38,Kurd,Shia Islam,high,12,2038-07-10,9.38,8,7,8,4091232,2903312,shelter,high,low,86,16,5
6767,Iran,civil war,2028-07-11,2023-01-01,26,564,6767,Yemen,Red Cross,military,2028-07-11,2023-01-01,no,Iraq,22894910,23826,8.08,24.06,95.26,Baluchi,Christianity,low,9,2038-07-11,9.19,5,4,2,1833802,2783939,shelter,medium,medium,50,16,6
6768,Yemen,civil war,2028-07-12,2023-01-01,8,821,6768,Afghanistan,NATO,humanitarian,2028-07-12,2023-01-01,no,Iraq,39178604,37936,40.6,34.81,70.77,Arab,Sunni Islam,high,14,2038-07-12,2.12,9,3,8,1556403,1147953,water,high,medium,40,29,4
6769,Syria,terrorism,2028-07-13,2023-01-01,24,861,6769,Yemen,Red Cross,diplomatic,2028-07-13,,partial,Iraq,31485445,29037,12.06,35.14,53.32,Persian,Sunni Islam,high,15,2038-07-13,3.29,7,2,7,4169122,711318,shelter,medium,low,37,19,8
6770,Yemen,territorial conflict,2028-07-14,2023-01-01,50,467,6770,Syria,UN,humanitarian,2028-07-14,,no,Afghanistan,17003059,46564,44.76,13.44,82.98,Baluchi,Sunni Islam,medium,2,2038-07-14,6.69,4,4,2,2603499,2666372,water,low,high,55,17,3
6771,Iran,territorial conflict,2028-07-15,2023-01-01,96,713,6771,Syria,UN,diplomatic,2028-07-15,,partial,Syria,13042850,38683,32.87,46.48,89.31,Kurd,Christianity,low,11,2038-07-15,8.44,4,6,8,3856907,2765014,food,medium,medium,68,13,3
6772,Afghanistan,civil war,2028-07-16,2023-01-01,21,117,6772,Afghanistan,Red Cross,diplomatic,2028-07-16,2023-01-01,yes,Yemen,11330985,37611,46.87,48.3,51.27,Kurd,Sunni Islam,low,16,2038-07-16,2.9,7,8,9,3500260,1067907,medicine,medium,low,90,7,9
6773,Syria,terrorism,2028-07-17,,22,523,6773,Iran,Red Cross,diplomatic,2028-07-17,2023-01-01,partial,Iran,11335949,34373,31.49,42.61,80.67,Persian,Shia Islam,high,5,2038-07-17,1.03,5,3,9,4987810,1232598,food,medium,low,58,25,2
6774,Iraq,civil war,2028-07-18,2023-01-01,35,826,6774,Iran,NATO,diplomatic,2028-07-18,,no,Iraq,4737645,31949,22.88,40.46,51.67,Turkoman,Shia Islam,low,12,2038-07-18,1.65,7,8,3,2649303,1769944,medicine,low,medium,8,10,6
6775,Yemen,territorial conflict,2028-07-19,,43,233,6775,Syria,Red Cross,humanitarian,2028-07-19,,yes,Afghanistan,26999189,21554,14.43,18.61,75.56,Turkoman,Shia Islam,low,5,2038-07-19,3.03,5,6,2,2323962,1393295,medicine,low,low,88,27,2
6776,Iran,territorial conflict,2028-07-20,,87,304,6776,Afghanistan,UN,diplomatic,2028-07-20,2023-01-01,no,Iraq,20543107,38997,34.43,50.34,88.35,Kurd,Shia Islam,medium,3,2038-07-20,6.32,9,2,9,150173,1366579,food,high,high,65,32,8
6777,Iraq,territorial conflict,2028-07-21,2023-01-01,63,652,6777,Yemen,UN,diplomatic,2028-07-21,,partial,Syria,36964629,24013,47.6,17.16,69.9,Kurd,Christianity,low,7,2038-07-21,1.42,5,7,6,2285482,2526745,food,medium,low,79,32,5
6778,Syria,civil war,2028-07-22,,19,123,6778,Afghanistan,Red Cross,diplomatic,2028-07-22,,no,Yemen,2822609,32822,16.02,40.68,82.99,Turkoman,Shia Islam,low,13,2038-07-22,8.93,5,8,1,230949,2774143,water,high,low,95,42,7
6779,Syria,civil war,2028-07-23,,52,37,6779,Afghanistan,UN,diplomatic,2028-07-23,,yes,Syria,16828645,885,37.56,10.65,76.67,Baluchi,Sunni Islam,high,5,2038-07-23,1.32,8,2,1,1110874,939719,shelter,high,high,88,36,4
6780,Yemen,civil war,2028-07-24,,6,10,6780,Afghanistan,Red Cross,diplomatic,2028-07-24,,yes,Iran,35852828,34320,28.38,6.34,85.12,Persian,Sunni Islam,high,6,2038-07-24,2.83,2,4,8,1621044,190582,food,medium,medium,65,26,9
6781,Syria,terrorism,2028-07-25,,76,951,6781,Syria,UN,diplomatic,2028-07-25,2023-01-01,yes,Iraq,11655797,37287,16.98,17.42,54.75,Baluchi,Sunni Islam,medium,17,2038-07-25,6.96,3,2,0,4332688,609106,medicine,medium,low,2,13,9
6782,Syria,terrorism,2028-07-26,2023-01-01,63,722,6782,Iraq,NATO,military,2028-07-26,2023-01-01,no,Syria,10461786,5198,47.41,36.04,96.62,Kurd,Sunni Islam,high,8,2038-07-26,1.64,1,5,5,964933,1722296,shelter,low,medium,22,37,2
6783,Syria,territorial conflict,2028-07-27,,13,641,6783,Iraq,Red Cross,military,2028-07-27,,partial,Iran,18575428,44230,37.65,24.66,67.57,Arab,Shia Islam,medium,10,2038-07-27,3.61,7,4,1,3013077,813878,water,low,low,9,47,1
6784,Syria,civil war,2028-07-28,,76,486,6784,Afghanistan,UN,humanitarian,2028-07-28,,partial,Afghanistan,11332601,6937,33.71,29.08,61.59,Baluchi,Christianity,high,10,2038-07-28,6.07,4,7,7,1624445,1751687,water,medium,medium,46,49,9
6785,Iran,terrorism,2028-07-29,2023-01-01,51,402,6785,Afghanistan,Red Cross,humanitarian,2028-07-29,,yes,Afghanistan,3534017,10956,39.26,49.13,72.5,Baluchi,Christianity,medium,0,2038-07-29,3.68,1,5,0,2403679,270342,water,medium,medium,91,49,8
6786,Yemen,territorial conflict,2028-07-30,,28,768,6786,Syria,UN,military,2028-07-30,2023-01-01,yes,Iraq,3577713,20155,49.45,45.54,90.34,Baluchi,Christianity,low,12,2038-07-30,4.27,8,5,6,4480017,2489720,food,low,medium,41,32,1
6787,Iran,territorial conflict,2028-07-31,,12,809,6787,Afghanistan,UN,humanitarian,2028-07-31,2023-01-01,partial,Afghanistan,35319163,30407,26.86,20.54,67.3,Kurd,Sunni Islam,medium,11,2038-07-31,4.23,9,6,6,3847858,2487055,shelter,medium,high,12,19,4
6788,Iraq,civil war,2028-08-01,2023-01-01,38,849,6788,Yemen,UN,diplomatic,2028-08-01,2023-01-01,partial,Yemen,35057379,10045,37.21,16.27,82.35,Kurd,Shia Islam,low,1,2038-08-01,4.88,4,8,6,2526906,1003893,water,medium,medium,10,41,8
6789,Iran,territorial conflict,2028-08-02,,82,469,6789,Afghanistan,Red Cross,military,2028-08-02,,yes,Iran,14085193,37121,30.51,51.69,62.68,Persian,Christianity,low,15,2038-08-02,8.28,5,8,8,3808881,1706552,medicine,medium,medium,64,13,1
6790,Syria,territorial conflict,2028-08-03,2023-01-01,8,758,6790,Iran,Red Cross,diplomatic,2028-08-03,2023-01-01,partial,Syria,33551052,1800,21.67,17.55,88.52,Kurd,Shia Islam,high,13,2038-08-03,1.76,8,2,5,3117427,136918,food,medium,low,93,47,8
6791,Iraq,terrorism,2028-08-04,2023-01-01,17,111,6791,Yemen,UN,military,2028-08-04,,no,Syria,12245201,44419,20.75,14.81,87.75,Persian,Sunni Islam,low,16,2038-08-04,9.36,6,2,6,4056417,1443047,medicine,low,high,40,24,7
6792,Iraq,territorial conflict,2028-08-05,2023-01-01,35,527,6792,Iraq,UN,diplomatic,2028-08-05,,yes,Iran,26731222,48642,34.93,32.74,97.8,Baluchi,Shia Islam,medium,0,2038-08-05,8.86,3,1,8,2892985,1173650,food,high,medium,37,3,6
6793,Iran,territorial conflict,2028-08-06,,14,960,6793,Iraq,NATO,humanitarian,2028-08-06,,no,Afghanistan,22705115,15370,35.08,58.73,78.51,Kurd,Shia Islam,low,3,2038-08-06,6.35,2,5,8,2679959,233501,medicine,medium,low,39,6,5
6794,Iran,terrorism,2028-08-07,2023-01-01,47,610,6794,Afghanistan,UN,military,2028-08-07,2023-01-01,partial,Iran,17965658,36863,25.5,58.55,64.85,Arab,Shia Islam,high,19,2038-08-07,8.6,6,6,8,4668841,1694834,shelter,low,high,93,2,3
6795,Syria,territorial conflict,2028-08-08,2023-01-01,36,603,6795,Yemen,NATO,humanitarian,2028-08-08,,no,Afghanistan,18171581,17728,19.84,10.55,70.42,Kurd,Sunni Islam,low,12,2038-08-08,9.47,3,5,0,2230756,2651090,medicine,high,low,12,7,1
6796,Afghanistan,territorial conflict,2028-08-09,,6,677,6796,Syria,UN,military,2028-08-09,,no,Yemen,17249760,44957,6.98,14.47,71.75,Persian,Shia Islam,medium,15,2038-08-09,3.58,6,6,1,4534682,93210,food,low,low,43,30,4
6797,Iraq,terrorism,2028-08-10,,22,543,6797,Iraq,NATO,humanitarian,2028-08-10,,partial,Iraq,18834373,28887,6.31,35.67,67.69,Turkoman,Sunni Islam,high,12,2038-08-10,6.45,5,3,7,2349679,94500,food,medium,low,49,12,1
6798,Afghanistan,civil war,2028-08-11,2023-01-01,24,907,6798,Iraq,NATO,humanitarian,2028-08-11,2023-01-01,partial,Iran,26276898,1974,23.12,5.03,98.8,Kurd,Sunni Islam,medium,7,2038-08-11,5.0,3,2,7,179181,174114,food,high,medium,81,31,2
6799,Afghanistan,territorial conflict,2028-08-12,2023-01-01,73,385,6799,Afghanistan,NATO,humanitarian,2028-08-12,,partial,Syria,38640725,9140,41.11,13.93,68.51,Kurd,Shia Islam,low,8,2038-08-12,7.72,5,1,4,640362,2925006,shelter,high,medium,92,2,4
6800,Afghanistan,terrorism,2028-08-13,2023-01-01,99,620,6800,Yemen,UN,diplomatic,2028-08-13,,partial,Iran,29476263,2148,40.94,47.7,77.38,Baluchi,Christianity,high,17,2038-08-13,3.34,8,9,8,3646198,768141,water,low,medium,95,37,2
6801,Yemen,terrorism,2028-08-14,,42,606,6801,Afghanistan,Red Cross,military,2028-08-14,,partial,Syria,29079123,9130,33.03,49.04,95.83,Turkoman,Christianity,medium,11,2038-08-14,9.81,1,2,2,2875583,2165675,medicine,high,high,86,44,2
6802,Yemen,terrorism,2028-08-15,2023-01-01,79,544,6802,Syria,Red Cross,humanitarian,2028-08-15,2023-01-01,yes,Iraq,30797183,2334,22.48,13.14,55.26,Turkoman,Christianity,low,6,2038-08-15,7.44,3,2,6,445207,220206,water,high,medium,21,44,5
6803,Iraq,terrorism,2028-08-16,,61,422,6803,Afghanistan,Red Cross,military,2028-08-16,2023-01-01,no,Afghanistan,38829393,49905,43.05,30.01,76.07,Baluchi,Shia Islam,medium,12,2038-08-16,3.48,4,5,8,4192855,1571257,medicine,high,medium,88,5,7
6804,Afghanistan,terrorism,2028-08-17,,63,806,6804,Afghanistan,NATO,humanitarian,2028-08-17,2023-01-01,yes,Iraq,33192889,592,39.57,23.99,92.21,Arab,Shia Islam,medium,6,2038-08-17,3.19,6,2,6,3863229,2431477,food,medium,high,85,37,4
6805,Iraq,civil war,2028-08-18,,95,47,6805,Yemen,UN,military,2028-08-18,,partial,Afghanistan,19964868,47746,35.11,15.04,68.38,Kurd,Christianity,low,3,2038-08-18,1.67,8,8,2,4497033,2570499,food,low,medium,1,13,9
6806,Yemen,terrorism,2028-08-19,,33,808,6806,Afghanistan,NATO,diplomatic,2028-08-19,2023-01-01,no,Iraq,1434709,7659,40.44,51.99,72.41,Baluchi,Sunni Islam,high,16,2038-08-19,8.9,2,4,6,870546,1593039,food,medium,low,5,38,1
6807,Yemen,territorial conflict,2028-08-20,2023-01-01,93,650,6807,Iran,Red Cross,military,2028-08-20,2023-01-01,no,Afghanistan,37699673,5062,12.29,29.23,65.34,Baluchi,Sunni Islam,medium,17,2038-08-20,1.28,3,2,5,2723656,2325234,medicine,high,high,9,37,9
6808,Syria,terrorism,2028-08-21,,17,602,6808,Afghanistan,NATO,diplomatic,2028-08-21,,no,Yemen,24993860,33867,24.95,8.2,56.8,Baluchi,Shia Islam,medium,18,2038-08-21,8.23,7,2,2,4715202,2089627,medicine,medium,low,12,30,7
6809,Syria,territorial conflict,2028-08-22,2023-01-01,99,752,6809,Iran,Red Cross,diplomatic,2028-08-22,2023-01-01,partial,Yemen,19583517,35384,36.6,9.34,85.59,Turkoman,Christianity,medium,6,2038-08-22,3.09,9,8,7,4152563,1125578,food,high,high,14,37,7
6810,Iraq,territorial conflict,2028-08-23,2023-01-01,42,290,6810,Iraq,NATO,military,2028-08-23,,partial,Iran,24129465,22006,8.64,36.04,62.08,Persian,Sunni Islam,low,10,2038-08-23,2.71,4,7,5,4908849,74928,water,medium,low,78,10,2
6811,Syria,territorial conflict,2028-08-24,2023-01-01,74,583,6811,Iraq,UN,humanitarian,2028-08-24,2023-01-01,yes,Iraq,37860112,12524,42.7,20.38,78.31,Persian,Shia Islam,low,10,2038-08-24,1.92,8,7,1,1943219,554854,water,medium,medium,37,18,1
6812,Iraq,territorial conflict,2028-08-25,2023-01-01,11,521,6812,Iraq,UN,diplomatic,2028-08-25,,partial,Afghanistan,17901564,45511,31.98,41.75,84.64,Arab,Sunni Islam,low,1,2038-08-25,3.39,6,7,3,2866607,410081,medicine,low,low,76,48,3
6813,Afghanistan,terrorism,2028-08-26,2023-01-01,18,410,6813,Afghanistan,UN,humanitarian,2028-08-26,2023-01-01,partial,Iraq,32625060,42839,49.56,20.15,94.18,Arab,Sunni Islam,high,4,2038-08-26,9.85,8,9,4,4876419,2120539,food,low,medium,98,9,6
6814,Iran,terrorism,2028-08-27,2023-01-01,37,269,6814,Afghanistan,Red Cross,diplomatic,2028-08-27,,partial,Syria,27305433,35448,28.64,45.45,66.75,Baluchi,Sunni Islam,low,17,2038-08-27,3.32,9,8,3,2457551,1451401,shelter,low,medium,37,10,9
6815,Afghanistan,civil war,2028-08-28,2023-01-01,40,985,6815,Yemen,NATO,humanitarian,2028-08-28,,partial,Syria,26302094,34793,42.54,29.97,56.13,Turkoman,Shia Islam,low,17,2038-08-28,9.74,8,8,8,2350647,1242466,shelter,low,high,33,27,2
6816,Afghanistan,civil war,2028-08-29,2023-01-01,60,293,6816,Afghanistan,NATO,diplomatic,2028-08-29,,partial,Yemen,33557848,34529,29.67,33.89,88.78,Kurd,Christianity,high,6,2038-08-29,6.42,1,4,8,4767046,2122362,medicine,low,medium,98,13,7
6817,Yemen,territorial conflict,2028-08-30,,77,627,6817,Afghanistan,UN,military,2028-08-30,2023-01-01,yes,Iraq,32066752,36276,19.38,52.23,77.82,Kurd,Sunni Islam,low,13,2038-08-30,1.11,9,9,4,4924872,2789575,medicine,low,low,38,12,4
6818,Yemen,terrorism,2028-08-31,2023-01-01,9,91,6818,Yemen,UN,diplomatic,2028-08-31,,partial,Afghanistan,14272743,26827,34.82,44.54,84.32,Baluchi,Sunni Islam,high,11,2038-08-31,9.57,1,7,1,4466586,2638495,food,medium,medium,88,31,9
6819,Iraq,civil war,2028-09-01,2023-01-01,42,785,6819,Syria,NATO,military,2028-09-01,,partial,Iran,5442292,46144,26.06,15.75,75.47,Arab,Sunni Islam,medium,5,2038-09-01,2.33,4,8,2,725855,2888433,food,medium,medium,41,49,6
6820,Yemen,territorial conflict,2028-09-02,2023-01-01,20,967,6820,Iraq,UN,humanitarian,2028-09-02,2023-01-01,yes,Afghanistan,35108003,6157,42.88,32.28,88.58,Arab,Sunni Islam,low,19,2038-09-02,9.94,4,1,4,1501007,527743,water,medium,medium,9,7,2
6821,Syria,territorial conflict,2028-09-03,2023-01-01,59,320,6821,Iran,NATO,military,2028-09-03,2023-01-01,no,Syria,5276097,46119,5.41,22.33,71.19,Turkoman,Christianity,medium,13,2038-09-03,3.84,4,9,9,4725943,343637,food,high,high,72,26,3
6822,Iran,civil war,2028-09-04,,33,352,6822,Afghanistan,UN,military,2028-09-04,2023-01-01,partial,Syria,18149679,28446,46.31,38.64,92.6,Kurd,Sunni Islam,high,10,2038-09-04,8.52,4,4,6,2603936,720227,food,high,medium,18,5,2
6823,Iran,territorial conflict,2028-09-05,2023-01-01,92,509,6823,Yemen,UN,military,2028-09-05,,partial,Yemen,35284402,6890,24.56,36.54,94.78,Kurd,Shia Islam,low,9,2038-09-05,7.36,8,7,3,3286415,2475959,medicine,high,high,99,42,1
6824,Afghanistan,terrorism,2028-09-06,,8,338,6824,Afghanistan,UN,humanitarian,2028-09-06,2023-01-01,yes,Iraq,39524575,25224,27.54,23.78,54.3,Persian,Christianity,low,11,2038-09-06,1.52,2,8,2,921147,1153961,food,low,low,8,38,3
6825,Syria,terrorism,2028-09-07,2023-01-01,11,604,6825,Iran,NATO,humanitarian,2028-09-07,2023-01-01,yes,Iran,15689577,31406,29.43,40.76,86.75,Turkoman,Shia Islam,medium,6,2038-09-07,4.24,6,9,4,332785,707365,shelter,low,low,47,37,5
6826,Syria,civil war,2028-09-08,2023-01-01,3,309,6826,Yemen,NATO,military,2028-09-08,,no,Afghanistan,31918735,12792,10.68,58.01,77.17,Baluchi,Shia Islam,high,1,2038-09-08,5.73,6,6,8,2858960,978779,medicine,low,medium,39,30,5
6827,Iraq,terrorism,2028-09-09,2023-01-01,62,20,6827,Yemen,UN,diplomatic,2028-09-09,,no,Yemen,5755476,24995,19.86,15.89,78.96,Kurd,Shia Islam,high,4,2038-09-09,6.75,2,8,1,3602716,1131531,shelter,medium,low,43,15,5
6828,Yemen,civil war,2028-09-10,,33,212,6828,Iraq,NATO,military,2028-09-10,,no,Yemen,13619216,13051,35.72,12.69,62.34,Turkoman,Shia Islam,medium,12,2038-09-10,8.19,8,2,1,3804337,1898166,water,high,low,24,41,7
6829,Iraq,territorial conflict,2028-09-11,2023-01-01,89,398,6829,Yemen,UN,military,2028-09-11,2023-01-01,partial,Iran,25032585,14018,6.91,8.03,64.79,Persian,Shia Islam,medium,16,2038-09-11,4.86,6,1,3,1444536,1614839,medicine,low,high,58,12,7
6830,Iran,civil war,2028-09-12,,9,557,6830,Afghanistan,UN,diplomatic,2028-09-12,,no,Yemen,24585515,30890,20.3,54.35,90.74,Kurd,Sunni Islam,low,14,2038-09-12,6.43,8,2,7,469494,595690,medicine,high,medium,96,36,8
6831,Yemen,civil war,2028-09-13,2023-01-01,36,353,6831,Iraq,Red Cross,military,2028-09-13,2023-01-01,yes,Syria,9603924,9523,16.44,54.74,52.39,Arab,Shia Islam,high,1,2038-09-13,9.77,9,3,5,1398219,2385529,water,low,high,44,1,4
6832,Iraq,terrorism,2028-09-14,,41,335,6832,Iran,NATO,military,2028-09-14,2023-01-01,yes,Yemen,29113158,26595,33.98,36.62,54.54,Arab,Christianity,medium,6,2038-09-14,6.08,3,5,0,2840369,2596950,food,low,low,40,47,1
6833,Syria,territorial conflict,2028-09-15,,43,571,6833,Syria,Red Cross,humanitarian,2028-09-15,,yes,Iran,3872634,2413,21.07,53.68,76.93,Kurd,Sunni Islam,medium,1,2038-09-15,5.11,2,7,7,2446601,2187746,water,high,medium,33,34,3
6834,Yemen,terrorism,2028-09-16,2023-01-01,16,839,6834,Afghanistan,NATO,humanitarian,2028-09-16,2023-01-01,partial,Iraq,17779026,5409,19.02,49.4,61.2,Persian,Sunni Islam,medium,18,2038-09-16,8.27,9,7,2,2108850,594741,water,medium,medium,41,47,5
6835,Afghanistan,territorial conflict,2028-09-17,,91,822,6835,Syria,NATO,military,2028-09-17,2023-01-01,no,Iraq,14221915,37090,14.27,26.92,53.25,Persian,Sunni Islam,high,3,2038-09-17,5.12,1,6,8,344117,747659,water,low,low,18,35,6
6836,Syria,terrorism,2028-09-18,2023-01-01,53,745,6836,Iran,NATO,humanitarian,2028-09-18,2023-01-01,partial,Syria,14929295,30481,25.63,32.99,84.43,Baluchi,Shia Islam,medium,5,2038-09-18,4.92,1,8,5,2420277,966143,shelter,high,high,59,6,5
6837,Iraq,civil war,2028-09-19,2023-01-01,39,908,6837,Syria,NATO,diplomatic,2028-09-19,2023-01-01,no,Iran,25689412,18838,36.53,57.42,56.61,Baluchi,Sunni Islam,medium,17,2038-09-19,9.31,4,8,4,1689853,581971,food,low,low,40,13,1
6838,Iraq,civil war,2028-09-20,,29,364,6838,Syria,UN,military,2028-09-20,,partial,Iraq,22318005,20945,45.15,30.96,97.35,Baluchi,Shia Islam,medium,13,2038-09-20,8.88,3,8,5,4738387,1223452,medicine,low,high,56,45,6
6839,Afghanistan,terrorism,2028-09-21,,44,269,6839,Syria,Red Cross,humanitarian,2028-09-21,2023-01-01,partial,Afghanistan,19537872,8646,6.77,16.05,78.0,Arab,Shia Islam,low,11,2038-09-21,6.01,5,6,6,1238420,442112,medicine,high,medium,90,17,9
6840,Iraq,territorial conflict,2028-09-22,2023-01-01,87,497,6840,Iraq,Red Cross,humanitarian,2028-09-22,2023-01-01,no,Syria,13546258,5991,5.85,39.72,63.12,Arab,Sunni Islam,low,11,2038-09-22,5.51,8,5,8,392835,2901091,shelter,low,high,68,26,9
6841,Syria,territorial conflict,2028-09-23,,55,63,6841,Iran,UN,military,2028-09-23,,partial,Afghanistan,18846246,29629,17.49,13.79,86.61,Baluchi,Shia Islam,low,18,2038-09-23,6.3,8,2,0,4561613,2334946,food,low,low,95,37,1
